ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status,Nodes
0,Rigid,0,298498,440850,298498,142352,440850,completed,756
1,Rigid,71527,383929,428823,312402,44894,357296,completed,576
2,Rigid,71527,383929,431186,312402,47257,359659,completed,576
3,Rigid,71527,428825,470901,357298,42076,399374,completed,576
4,Rigid,169836,440852,588733,271016,147881,418897,completed,756
5,Rigid,242336,242337,501545,1,259208,259209,completed,32
6,Rigid,335965,335965,396548,0,60583,60583,completed,32
7,Rigid,335965,335965,397311,0,61346,61346,completed,32
8,Rigid,335965,335965,392042,0,56077,56077,completed,32
9,Rigid,335965,335965,385457,0,49492,49492,completed,32
10,Rigid,335965,335965,394832,0,58867,58867,completed,32
11,Rigid,335965,335965,402296,0,66331,66331,completed,32
12,Rigid,335965,335965,404011,0,68046,68046,completed,32
13,Rigid,335965,335965,396569,0,60604,60604,completed,32
14,Rigid,335965,335965,396805,0,60840,60840,completed,32
15,Rigid,335965,335965,401648,0,65683,65683,completed,32
16,Rigid,335965,335965,399366,0,63401,63401,completed,32
17,Rigid,335965,335965,390293,0,54328,54328,completed,32
18,Rigid,335989,335992,487256,3,151264,151267,completed,756
19,Rigid,336012,588734,736146,252722,147412,400134,completed,756
20,Rigid,338278,338278,683903,0,345625,345625,completed,288
21,Rigid,338543,338544,402894,1,64350,64351,completed,32
22,Rigid,338543,338544,399970,1,61426,61427,completed,32
23,Rigid,338543,338544,393405,1,54861,54862,completed,32
24,Rigid,338543,338544,399030,1,60486,60487,completed,32
25,Rigid,338543,338544,397671,1,59127,59128,completed,32
26,Rigid,338543,338544,397450,1,58906,58907,completed,32
27,Rigid,338543,338544,404248,1,65704,65705,completed,32
28,Rigid,338543,338544,398676,1,60132,60133,completed,32
29,Rigid,338543,338544,395550,1,57006,57007,completed,32
30,Rigid,338543,338544,400812,1,62268,62269,completed,32
31,Rigid,338543,338544,399605,1,61061,61062,completed,32
32,Rigid,338543,338544,397957,1,59413,59414,completed,32
33,Rigid,339366,339367,411767,1,72400,72401,completed,32
34,Rigid,339366,339367,411508,1,72141,72142,completed,32
35,Rigid,339366,339367,407715,1,68348,68349,completed,32
36,Rigid,339366,339367,410215,1,70848,70849,completed,32
37,Rigid,339366,339367,412489,1,73122,73123,completed,32
38,Rigid,339366,339367,409401,1,70034,70035,completed,32
39,Rigid,339366,339367,407787,1,68420,68421,completed,32
40,Rigid,339366,339367,390721,1,51354,51355,completed,32
41,Rigid,339366,339367,398898,1,59531,59532,completed,32
42,Rigid,339366,339367,408858,1,69491,69492,completed,32
43,Rigid,339366,339367,414631,1,75264,75265,completed,32
44,Rigid,339366,339367,415003,1,75636,75637,completed,32
45,Rigid,339573,339573,399566,0,59993,59993,completed,32
46,Rigid,339573,339573,423533,0,83960,83960,completed,32
47,Rigid,339573,339573,425245,0,85672,85672,completed,32
48,Rigid,339573,339573,426692,0,87119,87119,completed,32
49,Rigid,339573,339573,411606,0,72033,72033,completed,32
50,Rigid,339573,339573,414391,0,74818,74818,completed,32
51,Rigid,339573,339573,420246,0,80673,80673,completed,32
52,Rigid,339573,339573,416005,0,76432,76432,completed,32
53,Rigid,339573,339573,405967,0,66394,66394,completed,32
54,Rigid,339573,339573,412283,0,72710,72710,completed,32
55,Rigid,339573,339573,413462,0,73889,73889,completed,32
56,Rigid,339573,339573,418922,0,79349,79349,completed,32
57,Rigid,341930,341932,421770,2,79838,79840,completed,72
58,Rigid,388561,388562,420548,1,31986,31987,completed,24
59,Rigid,388656,388657,422443,1,33786,33787,completed,24
60,Rigid,394103,394103,713717,0,319614,319614,completed,252
61,Rigid,394558,394558,689200,0,294642,294642,completed,252
62,Rigid,394695,394695,691864,0,297169,297169,completed,252
63,Rigid,394759,394759,682940,0,288181,288181,completed,252
64,Rigid,395115,395115,682160,0,287045,287045,completed,252
65,Rigid,417755,417755,487952,0,70197,70197,completed,72
66,Rigid,421959,421960,429406,1,7446,7447,completed,4
67,Rigid,422104,422105,476264,1,54159,54160,completed,72
68,Rigid,422468,422469,423095,1,626,627,completed,36
69,Rigid,422719,422719,422854,0,135,135,completed,36
70,Rigid,422723,422724,422852,1,128,129,completed,36
71,Rigid,422873,422873,423097,0,224,224,completed,36
72,Rigid,422987,422988,425010,1,2022,2023,completed,36
73,Rigid,427876,427876,428154,0,278,278,completed,144
74,Rigid,429131,429132,472354,1,43222,43223,completed,36
75,Rigid,429220,429220,515646,0,86426,86426,completed,144
76,Rigid,429220,429220,515646,0,86426,86426,completed,144
77,Rigid,429220,429220,515646,0,86426,86426,completed,144
78,Rigid,429220,429224,513858,4,84634,84638,completed,144
79,Rigid,429220,429224,515646,4,86422,86426,completed,144
80,Rigid,429220,429224,514710,4,85486,85490,completed,144
81,Rigid,429220,429224,515646,4,86422,86426,completed,144
82,Rigid,429220,429224,515646,4,86422,86426,completed,144
83,Rigid,429220,429224,515646,4,86422,86426,completed,144
84,Rigid,429281,429282,513073,1,83791,83792,completed,144
85,Rigid,429281,429282,514941,1,85659,85660,completed,144
86,Rigid,429281,429282,514354,1,85072,85073,completed,144
87,Rigid,429281,429282,515706,1,86424,86425,completed,144
88,Rigid,429283,429286,515706,3,86420,86423,completed,144
89,Rigid,429283,429286,515704,3,86418,86421,completed,144
90,Rigid,430396,430397,439969,1,9572,9573,completed,144
91,Rigid,430397,430397,440108,0,9711,9711,completed,144
92,Rigid,430397,430401,440272,4,9871,9875,completed,144
93,Rigid,430397,430401,439368,4,8967,8971,completed,144
94,Rigid,430397,430397,440657,0,10260,10260,completed,144
95,Rigid,430397,430397,450280,0,19883,19883,completed,144
96,Rigid,430397,430401,440636,4,10235,10239,completed,144
97,Rigid,430397,430401,446478,4,16077,16081,completed,144
98,Rigid,430398,430401,438307,3,7906,7909,completed,144
99,Rigid,430398,430401,438762,3,8361,8364,completed,144
100,Rigid,430398,430401,440252,3,9851,9854,completed,144
101,Rigid,430722,446875,450757,16153,3882,20035,completed,144
102,Rigid,430722,430722,450757,0,20035,20035,completed,144
103,Rigid,430722,431187,446874,465,15687,16152,completed,144
104,Rigid,430722,431187,450757,465,19570,20035,completed,144
105,Rigid,430722,431187,450757,465,19570,20035,completed,144
106,Rigid,430722,431187,450757,465,19570,20035,completed,144
107,Rigid,433248,433249,433649,1,400,401,completed,36
108,Rigid,434133,434134,434502,1,368,369,completed,36
109,Rigid,434826,434827,435205,1,378,379,completed,36
110,Rigid,445036,445037,445058,1,21,22,completed,36
111,Rigid,445834,445834,446139,0,305,305,completed,36
112,Rigid,446269,446269,449017,0,2748,2748,completed,144
113,Rigid,446353,446354,446653,1,299,300,completed,36
114,Rigid,446969,446970,447273,1,303,304,completed,36
115,Rigid,450380,450381,450402,1,21,22,completed,144
116,Rigid,450380,450381,450402,1,21,22,completed,144
117,Rigid,450380,450381,450402,1,21,22,completed,144
118,Rigid,450380,450381,450402,1,21,22,completed,144
119,Rigid,450380,450381,450402,1,21,22,completed,144
120,Rigid,450380,450381,450402,1,21,22,completed,144
121,Rigid,450380,450381,450402,1,21,22,completed,144
122,Rigid,450380,450381,450402,1,21,22,completed,144
123,Rigid,450380,450381,450402,1,21,22,completed,144
124,Rigid,450380,450381,450402,1,21,22,completed,144
125,Rigid,450380,450381,450402,1,21,22,completed,144
126,Rigid,450380,450381,450402,1,21,22,completed,144
127,Rigid,450380,450381,450402,1,21,22,completed,144
128,Rigid,450380,450381,450402,1,21,22,completed,144
129,Rigid,450380,450381,450402,1,21,22,completed,144
130,Rigid,450380,450381,450402,1,21,22,completed,144
131,Rigid,450380,450381,450402,1,21,22,completed,144
132,Rigid,450381,450381,450402,0,21,21,completed,144
133,Rigid,450381,450381,450402,0,21,21,completed,144
134,Rigid,450381,450381,450402,0,21,21,completed,144
135,Rigid,450381,450381,450402,0,21,21,completed,144
136,Rigid,450381,450381,450402,0,21,21,completed,144
137,Rigid,452142,452142,452148,0,6,6,completed,36
138,Rigid,452347,452347,452490,0,143,143,completed,36
139,Rigid,452561,452562,452723,1,161,162,completed,36
140,Rigid,453854,453855,466012,1,12157,12158,completed,36
141,Rigid,455041,455041,493472,0,38431,38431,completed,144
142,Rigid,455041,455041,488677,0,33636,33636,completed,144
143,Rigid,455041,455041,491180,0,36139,36139,completed,144
144,Rigid,455041,455041,490964,0,35923,35923,completed,144
145,Rigid,455041,455045,485140,4,30095,30099,completed,144
146,Rigid,455041,455045,491835,4,36790,36794,completed,144
147,Rigid,455042,455045,493280,3,38235,38238,completed,144
148,Rigid,455042,455045,499449,3,44404,44407,completed,144
149,Rigid,455042,455045,480220,3,25175,25178,completed,144
150,Rigid,455042,455045,493560,3,38515,38518,completed,144
151,Rigid,455042,455045,485355,3,30310,30313,completed,144
152,Rigid,455042,455045,489293,3,34248,34251,completed,144
153,Rigid,455042,455045,486397,3,31352,31355,completed,144
154,Rigid,455042,455045,482119,3,27074,27077,completed,144
155,Rigid,455042,455045,486656,3,31611,31614,completed,144
156,Rigid,455042,455045,485783,3,30738,30741,completed,144
157,Rigid,455042,455045,495630,3,40585,40588,completed,144
158,Rigid,455043,455045,487352,2,32307,32309,completed,144
159,Rigid,455043,455045,487168,2,32123,32125,completed,144
160,Rigid,455043,455045,485810,2,30765,30767,completed,144
161,Rigid,455043,455045,495786,2,40741,40743,completed,144
162,Rigid,455043,455045,483976,2,28931,28933,completed,144
163,Rigid,455043,480221,520644,25178,40423,65601,completed,144
164,Rigid,455043,482120,514747,27077,32627,59704,completed,144
165,Rigid,455043,483977,515111,28934,31134,60068,completed,144
166,Rigid,455043,485142,523258,30099,38116,68215,completed,144
167,Rigid,455043,485356,512282,30313,26926,57239,completed,144
168,Rigid,455043,485785,523997,30742,38212,68954,completed,144
169,Rigid,455043,485811,520323,30768,34512,65280,completed,144
170,Rigid,455043,486398,518653,31355,32255,63610,completed,144
171,Rigid,455043,486657,524430,31614,37773,69387,completed,144
172,Rigid,455043,487169,518817,32126,31648,63774,completed,144
173,Rigid,455043,487354,527694,32311,40340,72651,completed,144
174,Rigid,455043,488679,528438,33636,39759,73395,completed,144
175,Rigid,455043,489295,523897,34252,34602,68854,completed,144
176,Rigid,455043,490965,530965,35922,40000,75922,completed,144
177,Rigid,455043,491181,526878,36138,35697,71835,completed,144
178,Rigid,455043,491836,523840,36793,32004,68797,completed,144
179,Rigid,455043,493281,524252,38238,30971,69209,completed,144
180,Rigid,455043,493474,521346,38431,27872,66303,completed,144
181,Rigid,455044,493561,526315,38517,32754,71271,completed,144
182,Rigid,455044,495631,526386,40587,30755,71342,completed,144
183,Rigid,455044,495788,522422,40744,26634,67378,completed,144
184,Rigid,455044,499450,543533,44406,44083,88489,completed,144
185,Rigid,455044,512284,547290,57240,35006,92246,completed,144
186,Rigid,455044,514748,545278,59704,30530,90234,completed,144
187,Rigid,455044,515112,551151,60068,36039,96107,completed,144
188,Rigid,455044,518654,547732,63610,29078,92688,completed,144
189,Rigid,455044,518818,555399,63774,36581,100355,completed,144
190,Rigid,455044,520324,554378,65280,34054,99334,completed,144
191,Rigid,455044,520645,546238,65601,25593,91194,completed,144
192,Rigid,455044,521347,553475,66303,32128,98431,completed,144
193,Rigid,455044,522424,553747,67380,31323,98703,completed,144
194,Rigid,455044,523259,555081,68215,31822,100037,completed,144
195,Rigid,455044,523841,558269,68797,34428,103225,completed,144
196,Rigid,455044,523898,565525,68854,41627,110481,completed,144
197,Rigid,455044,523998,563728,68954,39730,108684,completed,144
198,Rigid,455044,524253,546923,69209,22670,91879,completed,144
199,Rigid,455044,524431,555559,69387,31128,100515,completed,144
200,Rigid,455044,526316,557078,71272,30762,102034,completed,144
201,Rigid,455044,526387,559307,71343,32920,104263,completed,144
202,Rigid,455044,526879,565037,71835,38158,109993,completed,144
203,Rigid,455044,527695,557075,72651,29380,102031,completed,144
204,Rigid,455044,528439,568293,73395,39854,113249,completed,144
205,Rigid,455044,530966,564143,75922,33177,109099,completed,144
206,Rigid,455044,545280,579498,90236,34218,124454,completed,144
207,Rigid,455044,545899,575631,90855,29732,120587,completed,144
208,Rigid,455044,546239,584402,91195,38163,129358,completed,144
209,Rigid,455044,546924,576292,91880,29368,121248,completed,144
210,Rigid,455044,547291,583641,92247,36350,128597,completed,144
211,Rigid,455045,547734,575414,92689,27680,120369,completed,144
212,Rigid,455045,551151,585848,96106,34697,130803,completed,144
213,Rigid,455045,553476,589081,98431,35605,134036,completed,144
214,Rigid,455045,553748,588351,98703,34603,133306,completed,144
215,Rigid,455045,554380,596050,99335,41670,141005,completed,144
216,Rigid,455045,555082,594924,100037,39842,139879,completed,144
217,Rigid,455045,555401,588575,100356,33174,133530,completed,144
218,Rigid,455045,555561,591504,100516,35943,136459,completed,144
219,Rigid,455045,557076,586984,102031,29908,131939,completed,144
220,Rigid,455045,557080,594020,102035,36940,138975,completed,144
221,Rigid,455045,558270,595796,103225,37526,140751,completed,144
222,Rigid,455045,559308,591380,104263,32072,136335,completed,144
223,Rigid,455045,563729,607004,108684,43275,151959,completed,144
224,Rigid,455045,564144,601007,109099,36863,145962,completed,144
225,Rigid,455045,565038,599826,109993,34788,144781,completed,144
226,Rigid,455045,565526,608067,110481,42541,153022,completed,144
227,Rigid,455045,568295,605289,113250,36994,150244,completed,144
228,Rigid,455046,575416,606633,120370,31217,151587,completed,144
229,Rigid,455046,575632,613003,120586,37371,157957,completed,144
230,Rigid,455046,576292,613398,121246,37106,158352,completed,144
231,Rigid,455046,579500,614722,124454,35222,159676,completed,144
232,Rigid,455046,583642,622005,128596,38363,166959,completed,144
233,Rigid,455046,584403,621720,129357,37317,166674,completed,144
234,Rigid,455046,585848,614503,130802,28655,159457,completed,144
235,Rigid,455046,586985,620855,131939,33870,165809,completed,144
236,Rigid,455046,588353,634258,133307,45905,179212,completed,144
237,Rigid,455046,588577,615985,133531,27408,160939,completed,144
238,Rigid,455046,589082,625491,134036,36409,170445,completed,144
239,Rigid,455046,591381,624782,136335,33401,169736,completed,144
240,Rigid,455046,591505,622175,136459,30670,167129,completed,144
241,Rigid,455046,594022,630392,138976,36370,175346,completed,144
242,Rigid,455046,594925,624429,139879,29504,169383,completed,144
243,Rigid,455046,595797,629346,140751,33549,174300,completed,144
244,Rigid,455046,596051,626389,141005,30338,171343,completed,144
245,Rigid,455046,600548,629474,145502,28926,174428,completed,144
246,Rigid,455046,601271,630114,146225,28843,175068,completed,144
247,Rigid,455046,605289,635157,150243,29868,180111,completed,144
248,Rigid,455046,606634,642491,151588,35857,187445,completed,144
249,Rigid,455046,607006,640240,151960,33234,185194,completed,144
250,Rigid,455046,608068,633078,153022,25010,178032,completed,144
251,Rigid,455046,613004,646271,157958,33267,191225,completed,144
252,Rigid,455047,613400,641006,158353,27606,185959,completed,144
253,Rigid,455047,614504,644037,159457,29533,188990,completed,144
254,Rigid,455047,614724,644921,159677,30197,189874,completed,144
255,Rigid,455047,615987,647455,160940,31468,192408,completed,144
256,Rigid,455047,620857,656454,165810,35597,201407,completed,144
257,Rigid,455047,621721,653834,166674,32113,198787,completed,144
258,Rigid,455047,622007,655440,166960,33433,200393,completed,144
259,Rigid,455047,622176,654183,167129,32007,199136,completed,144
260,Rigid,455047,624431,659687,169384,35256,204640,completed,144
261,Rigid,455047,624784,660623,169737,35839,205576,completed,144
262,Rigid,455047,625493,655820,170446,30327,200773,completed,144
263,Rigid,455047,626391,658556,171344,32165,203509,completed,144
264,Rigid,455047,629347,659995,174300,30648,204948,completed,144
265,Rigid,455047,629475,665402,174428,35927,210355,completed,144
266,Rigid,455047,630115,668764,175068,38649,213717,completed,144
267,Rigid,455047,630393,662225,175346,31832,207178,completed,144
268,Rigid,455047,633079,665713,178032,32634,210666,completed,144
269,Rigid,455047,634259,667645,179212,33386,212598,completed,144
270,Rigid,455047,635158,673693,180111,38535,218646,completed,144
271,Rigid,455047,640242,676427,185195,36185,221380,completed,144
272,Rigid,455047,641007,671983,185960,30976,216936,completed,144
273,Rigid,455047,642492,685454,187445,42962,230407,completed,144
274,Rigid,455047,644039,684373,188992,40334,229326,completed,144
275,Rigid,455047,644922,676379,189875,31457,221332,completed,144
276,Rigid,455047,646272,677836,191225,31564,222789,completed,144
277,Rigid,455047,647456,679373,192409,31917,224326,completed,144
278,Rigid,455047,653836,690058,198789,36222,235011,completed,144
279,Rigid,455047,654185,694833,199138,40648,239786,completed,144
280,Rigid,455047,655442,695210,200395,39768,240163,completed,144
281,Rigid,455047,655822,684713,200775,28891,229666,completed,144
282,Rigid,455047,656455,694950,201408,38495,239903,completed,144
283,Rigid,455048,658558,696163,203510,37605,241115,completed,144
284,Rigid,455048,659688,699494,204640,39806,244446,completed,144
285,Rigid,455048,659996,701230,204948,41234,246182,completed,144
286,Rigid,455048,660625,681690,205577,21065,226642,completed,144
287,Rigid,455048,662226,697662,207178,35436,242614,completed,144
288,Rigid,455048,665403,697223,210355,31820,242175,completed,144
289,Rigid,455048,665714,695030,210666,29316,239982,completed,144
290,Rigid,455048,667647,703079,212599,35432,248031,completed,144
291,Rigid,455048,668765,702988,213717,34223,247940,completed,144
292,Rigid,455048,671984,709274,216936,37290,254226,completed,144
293,Rigid,455048,673695,707562,218647,33867,252514,completed,144
294,Rigid,455048,676380,716309,221332,39929,261261,completed,144
295,Rigid,455048,676429,708457,221381,32028,253409,completed,144
296,Rigid,455048,678950,704896,223902,25946,249848,completed,144
297,Rigid,455048,679375,711577,224327,32202,256529,completed,144
298,Rigid,455049,682162,716776,227113,34614,261727,completed,144
299,Rigid,455049,684375,716633,229326,32258,261584,completed,144
300,Rigid,455049,684715,719121,229666,34406,264072,completed,144
301,Rigid,455049,685456,718758,230407,33302,263709,completed,144
302,Rigid,455049,690060,729214,235011,39154,274165,completed,144
303,Rigid,455049,694835,733392,239786,38557,278343,completed,144
304,Rigid,455049,694952,741375,239903,46423,286326,completed,144
305,Rigid,455151,455156,504871,5,49715,49720,completed,144
306,Rigid,455151,455156,501742,5,46586,46591,completed,144
307,Rigid,455152,455156,495394,4,40238,40242,completed,144
308,Rigid,455152,455156,499953,4,44797,44801,completed,144
309,Rigid,455152,455156,466195,4,11039,11043,completed,144
310,Rigid,455152,466217,497576,11065,31359,42424,completed,144
311,Rigid,455152,470906,532503,15754,61597,77351,completed,144
312,Rigid,455152,470906,516138,15754,45232,60986,completed,144
313,Rigid,455152,470906,521271,15754,50365,66119,completed,144
314,Rigid,455152,470906,507949,15754,37043,52797,completed,144
315,Rigid,455152,495395,549370,40243,53975,94218,completed,144
316,Rigid,455152,497577,543580,42425,46003,88428,completed,144
317,Rigid,455152,499954,545898,44802,45944,90746,completed,144
318,Rigid,455152,501743,557954,46591,56211,102802,completed,144
319,Rigid,455152,510589,552577,55437,41988,97425,completed,144
320,Rigid,455152,514834,559165,59682,44331,104013,completed,144
321,Rigid,455152,516139,553765,60987,37626,98613,completed,144
322,Rigid,455152,521271,567150,66119,45879,111998,completed,144
323,Rigid,455152,532504,581149,77352,48645,125997,completed,144
324,Rigid,455152,546343,593030,91191,46687,137878,completed,144
325,Rigid,455152,546343,594257,91191,47914,139105,completed,144
326,Rigid,455152,549371,604942,94219,55571,149790,completed,144
327,Rigid,455152,552578,603389,97426,50811,148237,completed,144
328,Rigid,455152,553766,601270,98614,47504,146118,completed,144
329,Rigid,455152,557955,608638,102803,50683,153486,completed,144
330,Rigid,455152,559167,607653,104015,48486,152501,completed,144
331,Rigid,455153,567151,616504,111998,49353,161351,completed,144
332,Rigid,455153,581150,621774,125997,40624,166621,completed,144
333,Rigid,455153,593031,634802,137878,41771,179649,completed,144
334,Rigid,455153,601744,654847,146591,53103,199694,completed,144
335,Rigid,455153,603329,650530,148176,47201,195377,completed,144
336,Rigid,455153,603391,656536,148238,53145,201383,completed,144
337,Rigid,455153,604943,648888,149790,43945,193735,completed,144
338,Rigid,455153,607655,672421,152502,64766,217268,completed,144
339,Rigid,455153,632904,675913,177751,43009,220760,completed,144
340,Rigid,455153,634803,685184,179650,50381,230031,completed,144
341,Rigid,455153,634824,673044,179671,38220,217891,completed,144
342,Rigid,455153,641965,689733,186812,47768,234580,completed,144
343,Rigid,455153,648890,701735,193737,52845,246582,completed,144
344,Rigid,455153,650531,696063,195378,45532,240910,completed,144
345,Rigid,455153,654849,695543,199696,40694,240390,completed,144
346,Rigid,455153,656538,702464,201385,45926,247311,completed,144
347,Rigid,455153,672423,720074,217270,47651,264921,completed,144
348,Rigid,455153,673046,719668,217893,46622,264515,completed,144
349,Rigid,455153,713719,763237,258566,49518,308084,completed,144
350,Rigid,455153,715682,771908,260529,56226,316755,completed,144
351,Rigid,455153,716190,763916,261037,47726,308763,completed,144
352,Rigid,455154,716199,761749,261045,45550,306595,completed,144
353,Rigid,455154,716311,758513,261157,42202,303359,completed,144
354,Rigid,455154,716635,762086,261481,45451,306932,completed,144
355,Rigid,455154,716777,768688,261623,51911,313534,completed,144
356,Rigid,456427,456428,456437,1,9,10,completed,36
357,Rigid,456532,456535,456579,3,44,47,completed,36
358,Rigid,456653,456655,456687,2,32,34,completed,36
359,Rigid,458832,458833,458854,1,21,22,completed,36
360,Rigid,458905,458906,458921,1,15,16,completed,36
361,Rigid,459050,459050,459064,0,14,14,completed,36
362,Rigid,459122,459123,459136,1,13,14,completed,36
363,Rigid,459212,459213,459224,1,11,12,completed,36
364,Rigid,459301,459302,459313,1,11,12,completed,36
365,Rigid,459374,459374,459384,0,10,10,completed,36
366,Rigid,459444,459444,459453,0,9,9,completed,36
367,Rigid,459484,459485,459494,1,9,10,completed,36
368,Rigid,459562,459562,459574,0,12,12,completed,72
369,Rigid,459651,459651,459665,0,14,14,completed,144
370,Rigid,459671,459672,496673,1,37001,37002,completed,1
371,Rigid,459727,459728,459747,1,19,20,completed,288
372,Rigid,459812,459812,459876,0,64,64,completed,576
373,Rigid,459917,459917,459947,0,30,30,completed,576
374,Rigid,460013,460015,460027,2,12,14,completed,1152
375,Rigid,460110,460147,460189,37,42,79,completed,2304
376,Rigid,462005,462008,634817,3,172809,172812,completed,108
377,Rigid,462086,462098,632301,12,170203,170215,completed,108
378,Rigid,462159,462188,634997,29,172809,172838,completed,22
379,Rigid,462338,462368,525465,30,63097,63127,completed,22
380,Rigid,463340,463361,463363,21,2,23,completed,4
381,Rigid,463539,463541,632900,2,169359,169361,completed,24
382,Rigid,463551,463571,636377,20,172806,172826,completed,24
383,Rigid,471344,471357,471365,13,8,21,completed,144
384,Rigid,471453,471477,471488,24,11,35,completed,144
385,Rigid,471594,471598,471605,4,7,11,completed,72
386,Rigid,471710,471718,471722,8,4,12,completed,36
387,Rigid,471821,471838,471842,17,4,21,completed,36
388,Rigid,471903,471928,471934,25,6,31,completed,36
389,Rigid,472017,472018,472023,1,5,6,completed,36
390,Rigid,472060,472078,472083,18,5,23,completed,36
391,Rigid,472150,472169,472173,19,4,23,completed,36
392,Rigid,472869,472869,472872,0,3,3,completed,36
393,Rigid,472898,472899,472909,1,10,11,completed,36
394,Rigid,472982,472983,472995,1,12,13,completed,72
395,Rigid,473067,473068,473083,1,15,16,completed,144
396,Rigid,473140,473140,473160,0,20,20,completed,288
397,Rigid,473221,473222,473256,1,34,35,completed,576
398,Rigid,473297,473298,473318,1,20,21,completed,1152
399,Rigid,473420,473421,473448,1,27,28,completed,432
400,Rigid,473523,473524,473687,1,163,164,completed,24
401,Rigid,473544,473545,473568,1,23,24,completed,360
402,Rigid,473641,473641,473663,0,22,22,completed,324
403,Rigid,473701,473701,506133,0,32432,32432,completed,24
404,Rigid,473736,473737,473754,1,17,18,completed,216
405,Rigid,473826,473826,473842,0,16,16,completed,180
406,Rigid,473935,473936,473955,1,19,20,completed,252
407,Rigid,474007,474008,474026,1,18,19,completed,216
408,Rigid,476863,476864,479798,1,2934,2935,completed,72
